FileName,Country,DocType,Audience,DocLength
SYR_Doc1_Speech_Dom,SYR,Speech,Dom,5444
SYR_Doc2_Speech_Dom,SYR,Speech,Dom,5777
SYR_Doc3_Interv_For,SYR,Interv,For,5128
SYR_Doc4_Speech_Dom,SYR,Speech,Dom,358
SYR_Doc5_Interv_For,SYR,Interv,For,4318
SYR_Doc6_Speech_For,SYR,Speech,For,641
SYR_Doc7_Interv_For,SYR,Interv,For,765
SYR_Doc8_Speech_Dom,SYR,Speech,Dom,10804
SYR_Doc9_Speech_Dom,SYR,Speech,Dom,12009
USA_Doc1_Speech_Dom,USA,Speech,Dom,3460
USA_Doc2_Speech_For,USA,Speech,For,2831
USA_Doc3_Interv_Dom,USA,Interv,Dom,10026
USA_Doc4_Interv_Dom,USA,Interv,Dom,10447
USA_Doc5_Speech_Dom,USA,Speech,Dom,272
USA_Doc6_Speech_Dom,USA,Speech,Dom,3420
USA_Doc7_Interv_For,USA,Interv,For,3446
USA_Doc8_Speech_Dom,USA,Speech,Dom,3561
USA_Doc9_Speech_For,USA,Speech,For,2656
